R,V,S,E,P,H,landslide
0.658,0.249,0.703,0.463,0.543,0.277,1
0.542,0.737,0.478,0.655,0.405,0.697,0
0.441,0.394,0.874,0.347,0.485,0.507,1
0.616,0.468,0.862,0.561,0.112,0.47,1
0.309,0.183,0.9,0.753,0.426,0.302,1
0.665,0.186,0.563,0.796,0.507,0.506,1
0.343,0.249,0.474,0.503,0.743,0.851,1
0.68,0.599,0.779,0.777,0.253,0.81,0
0.202,0.485,0.959,0.403,0.495,0.233,0
0.37,0.311,0.098,0.172,0.572,0.159,1
0.518,0.39,0.867,0.666,0.495,0.441,0
0.929,0.489,0.73,0.586,0.363,0.506,1
0.493,0.347,0.797,0.617,0.68,0.125,1
0.76,0.161,0.299,0.706,0.56,0.441,0
0.628,0.531,0.693,0.675,0.849,0.712,1
0.695,0.464,0.794,0.369,0.532,0.17,1
0.526,0.452,0.824,0.136,0.35,0.089,0
0.744,0.377,0.121,0.518,0.809,0.22,0
0.485,0.263,0.391,0.434,0.297,0.793,1
0.618,0.814,0.633,0.31,0.644,0.453,1
0.142,0.498,0.762,0.192,0.642,0.379,1
0.174,0.739,0.878,0.681,0.491,0.446,1
0.353,0.888,0.651,0.719,0.334,0.291,1
0.557,0.104,0.216,0.389,0.633,0.481,0
0.82,0.624,0.868,0.297,0.297,0.724,1
0.656,0.524,0.747,0.529,0.552,0.181,1
0.514,0.721,0.809,0.511,0.818,0.501,1
0.864,0.829,0.724,0.531,0.544,0.655,1
0.466,0.414,0.603,0.447,0.199,0.684,1
0.968,0.309,0.791,0.547,0.524,0.579,1
0.123,0.64,0.549,0.831,0.336,0.364,0
0.262,0.53,0.385,0.447,0.625,0.588,0
0.214,0.661,0.641,0.432,0.323,0.514,0
0.472,0.244,0.461,0.742,0.554,0.456,0
0.592,0.72,0.36,0.271,0.763,0.621,1
0.912,0.583,0.863,0.629,0.784,0.11,1
0.302,0.342,0.678,0.307,0.792,0.625,1
0.072,0.802,0.349,0.652,0.442,0.545,1
0.696,0.535,0.193,0.719,0.71,0.438,1
0.516,0.307,0.549,0.533,0.488,0.526,1
0.069,0.733,0.511,0.16,0.725,0.239,1
0.117,0.22,0.281,0.273,0.781,0.742,1
0.815,0.589,0.933,0.655,0.448,0.949,1
0.776,0.49,0.626,0.378,0.26,0.605,0
0.376,0.757,0.583,0.846,0.308,0.143,0
0.396,0.274,0.635,0.384,0.293,0.422,0
0.503,0.388,0.258,0.842,0.787,0.365,0
0.786,0.587,0.305,0.343,0.404,0.717,1
0.397,0.7,0.623,0.412,0.214,0.954,0
0.776,0.89,0.5,0.078,0.65,0.177,1
0.357,0.948,0.974,0.576,0.486,0.248,0
0.494,0.146,0.403,0.77,0.521,0.377,1
0.559,0.301,0.961,0.3,0.647,0.333,0
0.603,0.378,0.489,0.635,0.228,0.347,0
0.243,0.124,0.593,0.285,0.634,0.537,1
0.117,0.934,0.554,0.315,0.472,0.456,0
0.25,0.777,0.673,0.849,0.886,0.386,1
0.551,0.221,0.279,0.562,0.629,0.787,1
0.113,0.339,0.233,0.644,0.252,0.586,1
0.277,0.387,0.499,0.341,0.736,0.228,1
0.503,0.443,0.713,0.435,0.523,0.246,1
0.588,0.521,0.589,0.777,0.408,0.35,1
0.135,0.57,0.887,0.215,0.293,0.727,0
0.103,0.532,0.71,0.568,0.138,0.323,1
0.112,0.386,0.903,0.365,0.451,0.902,0
0.472,0.505,0.877,0.757,0.201,0.282,1
0.18,0.681,0.607,0.306,0.5,0.526,1
0.417,0.884,0.377,0.871,0.484,0.693,1
0.624,0.436,0.462,0.447,0.618,0.261,1
0.441,0.302,0.651,0.236,0.675,0.969,1
0.147,0.261,0.759,0.506,0.297,0.246,1
0.831,0.441,0.224,0.705,0.447,0.679,1
0.239,0.498,0.055,0.61,0.676,0.498,0
0.367,0.578,0.82,0.196,0.603,0.858,0
0.738,0.639,0.82,0.692,0.505,0.67,0
0.542,0.816,0.57,0.565,0.589,0.507,0
0.848,0.21,0.878,0.704,0.924,0.381,1
0.758,0.218,0.261,0.165,0.344,0.906,1
0.766,0.342,0.341,0.577,0.557,0.728,1
0.692,0.174,0.663,0.926,0.71,0.101,1
0.483,0.735,0.845,0.525,0.856,0.099,1
0.787,0.595,0.949,0.187,0.643,0.77,1
0.347,0.267,0.394,0.584,0.53,0.571,0
0.456,0.313,0.287,0.58,0.77,0.978,0
0.381,0.312,0.881,0.276,0.226,0.292,0
0.808,0.3,0.816,0.874,0.562,0.617,1
0.897,0.026,0.818,0.488,0.845,0.881,1
0.251,0.622,0.914,0.33,0.576,0.343,0
0.66,0.558,0.691,0.601,0.176,0.733,0
0.528,0.581,0.806,0.57,0.419,0.385,1
0.483,0.562,0.401,0.503,0.517,0.806,1
0.875,0.401,0.339,0.517,0.698,0.679,1
0.272,0.526,0.529,0.308,0.673,0.471,1
0.305,0.522,0.438,0.748,0.176,0.376,1
0.678,0.552,0.881,0.629,0.923,0.745,1
0.808,0.367,0.609,0.511,0.528,0.632,1
0.955,0.617,0.733,0.243,0.281,0.039,0
0.262,0.627,0.495,0.195,0.129,0.276,0
0.865,0.399,0.316,0.504,0.732,0.236,1
0.731,0.654,0.34,0.287,0.32,0.337,1
0.339,0.698,0.697,0.681,0.628,0.707,1
0.343,0.214,0.675,0.733,0.702,0.525,1
0.486,0.353,0.686,0.82,0.718,0.543,1
0.479,0.678,0.342,0.557,0.257,0.303,0
0.533,0.174,0.293,0.53,0.402,0.587,0
0.469,0.482,0.572,0.095,0.65,0.22,1
0.278,0.972,0.748,0.412,0.664,0.291,1
0.285,0.424,0.804,0.363,0.751,0.172,0
0.404,0.895,0.728,0.408,0.62,0.297,0
0.519,0.59,0.828,0.336,0.559,0.324,1
0.517,0.393,0.83,0.513,0.263,0.822,1
0.404,0.731,0.977,0.709,0.035,0.824,0
0.375,0.302,0.331,0.566,0.57,0.416,1
0.394,0.606,0.986,0.564,0.853,0.192,1
0.169,0.286,0.806,0.169,0.472,0.735,0
0.506,0.7,0.921,0.676,0.57,0.735,0
0.453,0.317,0.983,0.724,0.424,0.586,1
0.151,0.302,0.849,0.783,0.229,0.58,0
0.812,0.352,0.917,0.87,0.945,0.278,1
0.553,0.309,0.617,0.446,0.868,0.484,1
0.608,0.254,0.795,0.347,0.586,0.24,1
0.637,0.79,0.177,0.676,0.542,0.407,1
0.835,0.624,0.494,0.32,0.53,0.231,1
0.571,0.533,0.552,0.354,0.105,0.329,0
0.293,0.176,0.244,0.223,0.321,0.393,1
0.608,0.398,0.587,0.338,0.177,0.743,1
0.111,0.379,0.485,0.149,0.486,0.74,1
0.529,0.521,0.643,0.619,0.369,0.368,1
0.274,0.762,0.965,0.639,0.329,0.343,1
0.392,0.722,0.551,0.201,0.744,0.35,1
0.609,0.631,0.561,0.413,0.731,0.291,1
0.643,0.405,0.472,0.319,0.821,0.87,1
0.261,0.533,0.785,0.829,0.141,0.406,1
0.382,0.53,0.688,0.493,0.379,0.409,1
0.749,0.095,0.39,0.784,0.885,0.562,1
0.586,0.451,0.388,0.48,0.447,0.877,1
0.431,0.256,0.92,0.312,0.907,0.206,1
0.451,0.658,0.614,0.457,0.111,0.312,0
0.759,0.819,0.92,0.44,0.538,0.569,0
0.606,0.863,0.419,0.663,0.226,0.552,0
0.672,0.451,0.738,0.683,0.73,0.149,1
0.578,0.292,0.63,0.129,0.696,0.347,1
0.076,0.389,0.591,0.3,0.713,0.816,1
0.847,0.117,0.869,0.114,0.483,0.402,1
0.749,0.236,0.977,0.444,0.454,0.791,1
0.438,0.382,0.517,0.567,0.753,0.715,1
0.134,0.52,0.652,0.237,0.337,0.728,0
0.459,0.201,0.567,0.372,0.897,0.665,1
0.684,0.36,0.443,0.483,0.421,0.218,0
0.957,0.651,0.911,0.606,0.682,0.716,1
0.483,0.796,0.945,0.359,0.696,0.74,1
0.099,0.766,0.421,0.577,0.744,0.98,0
0.32,0.108,0.252,0.371,0.693,0.616,1
0.547,0.408,0.597,0.498,0.08,0.469,0
0.782,0.629,0.786,0.14,0.586,0.393,1
0.591,0.47,0.219,0.601,0.679,0.573,0
0.707,0.58,0.704,0.666,0.561,0.737,1
0.214,0.475,0.88,0.3,0.743,0.743,1
0.596,0.843,0.437,0.818,0.626,0.454,0
0.759,0.673,0.357,0.496,0.605,0.703,1
0.608,0.876,0.337,0.552,0.798,0.445,0
0.228,0.997,0.767,0.383,0.257,0.404,0
0.58,0.688,0.421,0.216,0.71,0.246,1
0.906,0.842,0.709,0.669,0.576,0.496,0
0.528,0.702,0.838,0.346,0.643,0.889,1
0.111,0.517,0.465,0.915,0.209,0.16,0
0.237,0.772,0.397,0.485,0.317,0.297,1
0.582,0.159,0.872,0.826,0.591,0.788,1
0.481,0.068,0.588,0.574,0.861,0.393,1
0.345,0.61,0.754,0.249,0.627,0.664,1
0.465,0.559,0.136,0.598,0.637,0.959,1
0.533,0.486,0.465,0.338,0.678,0.605,1
0.846,0.229,0.625,0.515,0.511,0.256,1
0.825,0.904,0.272,0.398,0.235,0.565,1
0.266,0.637,0.835,0.457,0.464,0.513,0
0.336,0.993,0.75,0.354,0.151,0.799,0
0.405,0.77,0.807,0.383,0.849,0.36,1
0.143,0.066,0.661,0.604,0.252,0.723,1
0.429,0.804,0.852,0.366,0.707,0.223,0
0.458,0.627,0.555,0.39,0.674,0.864,1
0.559,0.877,0.529,0.322,0.654,0.639,1
0.446,0.721,0.689,0.295,0.133,0.521,0
0.841,0.599,0.963,0.335,0.443,0.337,1
0.451,0.831,0.909,0.346,0.409,0.871,0
0.551,0.344,0.835,0.731,0.83,0.577,1
0.565,0.269,0.348,0.859,0.547,0.292,0
0.639,0.207,0.671,0.159,0.259,0.691,1
0.68,0.471,0.831,0.311,0.134,0.727,1
0.638,0.297,0.429,0.123,0.672,0.875,1
0.744,0.387,0.416,0.589,0.767,0.653,1
0.419,0.583,0.318,0.758,0.419,0.849,1
0.712,0.703,0.324,0.495,0.601,0.839,0
0.735,0.668,0.689,0.937,0.403,0.366,1
0.758,0.36,0.05,0.191,0.396,0.089,0
0.54,0.439,0.523,0.495,0.376,0.64,1
0.749,0.609,0.665,0.611,0.241,0.481,0
0.141,0.571,0.774,0.383,0.421,0.789,1
0.323,0.534,0.886,0.945,0.174,0.425,1
0.557,0.674,0.341,0.676,0.803,0.52,0
0.208,0.598,0.315,0.295,0.514,0.423,0
0.275,0.559,0.749,0.169,0.806,0.601,1
0.598,0.289,0.345,0.187,0.172,0.181,1
0.284,0.403,0.744,0.515,0.636,0.551,0
0.388,0.134,0.58,0.265,0.307,0.383,1
0.478,0.675,0.702,0.157,0.284,0.644,1
0.68,0.657,0.667,0.318,0.553,0.162,1
0.365,0.04,0.622,0.363,0.306,0.685,1
0.156,0.674,0.353,0.517,0.558,0.533,0
0.685,0.579,0.254,0.652,0.362,0.528,1
0.6,0.352,0.348,0.704,0.685,0.972,1
0.429,0.545,0.579,0.461,0.981,0.52,1
0.518,0.496,0.787,0.1,0.671,0.296,0
0.369,0.692,0.633,0.758,0.358,0.395,0
0.194,0.817,0.076,0.32,0.401,0.52,1
0.541,0.687,0.72,0.555,0.196,0.45,0
0.804,0.241,0.045,0.235,0.68,0.318,0
0.117,0.609,0.316,0.431,0.059,0.512,0
0.21,0.734,0.827,0.542,0.138,0.43,0
0.71,0.472,0.868,0.612,0.432,0.748,1
0.445,0.762,0.652,0.497,0.805,0.38,0
0.378,0.638,0.427,0.393,0.499,0.715,1
0.551,0.58,0.87,0.183,0.509,0.329,1
0.729,0.552,0.85,0.738,0.093,0.3,1
0.515,0.503,0.667,0.827,0.771,0.355,1
0.811,0.262,0.897,0.53,0.301,0.197,1
0.524,0.623,0.501,0.846,0.734,0.561,1
0.153,0.421,0.454,0.2,0.538,0.138,1
0.932,0.941,0.557,0.56,0.555,0.566,1
0.335,0.439,0.497,0.342,0.602,0.464,1
0.327,0.576,0.861,0.35,0.537,0.217,1
0.402,0.611,0.66,0.644,0.406,0.576,0
0.645,0.245,0.553,0.246,0.107,0.328,1
0.17,0.269,0.757,0.718,0.512,0.746,1
0.711,0.164,0.306,0.537,0.874,0.684,1
0.669,0.436,0.685,0.816,0.828,0.396,1
0.542,0.184,0.72,0.442,0.654,0.758,1
0.419,0.729,0.949,0.831,0.591,0.875,1
0.692,0.487,0.839,0.491,0.811,0.327,1
0.092,0.396,0.496,0.793,0.338,0.417,0
0.493,0.64,0.991,0.677,0.413,0.373,0
0.164,0.696,0.591,0.763,0.389,0.747,1
0.7,0.783,0.871,0.151,0.523,0.718,0
0.379,0.39,0.345,0.589,0.472,0.338,1
0.482,0.545,0.502,0.387,0.307,0.271,0
0.743,0.382,0.606,0.424,0.647,0.698,1
0.736,0.797,0.914,0.235,0.23,0.254,1
0.609,0.798,0.75,0.379,0.238,0.133,0
0.325,0.931,0.659,0.491,0.213,0.193,0
0.655,0.234,0.579,0.601,0.394,0.188,1
0.327,0.223,0.541,0.949,0.677,0.439,0
0.72,0.348,0.358,0.915,0.548,0.733,1
0.863,0.027,0.591,0.232,0.63,0.481,1
0.36,0.092,0.66,0.743,0.433,0.411,1
0.674,0.15,0.755,0.572,0.552,0.789,1
0.635,0.575,0.601,0.216,0.642,0.608,1
0.76,0.754,0.772,0.601,0.731,0.39,0
0.095,0.3,0.534,0.252,0.873,0.616,0
0.196,0.332,0.844,0.465,0.503,0.474,1
0.572,0.407,0.61,0.627,0.514,0.848,1
0.704,0.478,0.529,0.286,0.542,0.347,1
0.322,0.579,0.459,0.671,0.333,0.784,1
0.408,0.441,0.907,0.327,0.462,0.157,1
0.289,0.651,0.71,0.824,0.293,0.894,1
0.843,0.235,0.76,0.599,0.85,0.65,1
0.749,0.481,0.861,0.858,0.38,0.227,1
0.419,0.803,0.853,0.689,0.514,0.394,0
0.136,0.688,0.712,0.173,0.437,0.152,1
0.166,0.533,0.962,0.416,0.745,0.875,1
0.386,0.609,0.629,0.385,0.505,0.508,0
0.4,0.81,0.562,0.35,0.564,0.415,0
0.311,0.623,0.571,0.553,0.391,0.592,1
0.379,0.351,0.809,0.627,0.462,0.456,0
0.572,0.718,0.402,0.47,0.338,0.488,0
0.281,0.431,0.867,0.774,0.491,0.422,1
0.258,0.452,0.855,0.71,0.875,0.518,1
0.424,0.799,0.506,0.328,0.726,0.766,1
0.744,0.541,0.718,0.356,0.922,0.278,1
0.181,0.431,0.531,0.45,0.777,0.493,1
0.393,0.36,0.628,0.114,0.513,0.606,1
0.504,0.756,0.408,0.244,0.384,0.563,0
0.573,0.866,0.716,0.333,0.202,0.516,1
0.454,0.525,0.835,0.768,0.512,0.054,1
0.395,0.799,0.653,0.662,0.314,0.663,1
0.229,0.748,0.441,0.552,0.413,0.484,0
0.557,0.191,0.967,0.62,0.731,0.63,1
0.716,0.218,0.921,0.61,0.387,0.473,1
0.595,0.265,0.127,0.44,0.809,0.069,1
0.303,0.738,0.995,0.466,0.256,0.322,1
0.121,0.241,0.25,0.656,0.846,0.199,0
0.892,0.084,0.827,0.766,0.207,0.896,1
0.123,0.564,0.988,0.281,0.854,0.126,1
0.556,0.516,0.565,0.668,0.795,0.257,0
0.06,0.545,0.612,0.484,0.15,0.453,0
0.852,0.95,0.555,0.894,0.82,0.731,1
0.096,0.543,0.241,0.546,0.551,0.345,1
0.591,0.291,0.397,0.746,0.626,0.811,1
0.655,0.414,0.574,0.43,0.577,0.5,0
0.197,0.243,0.73,0.301,0.455,0.11,1
0.366,0.265,0.307,0.772,0.22,0.62,1
0.589,0.575,0.731,0.127,0.284,0.261,1
0.547,0.631,0.224,0.662,0.453,0.815,1
0.188,0.512,0.16,0.247,0.207,0.598,1
0.514,0.654,0.443,0.623,0.613,0.495,0
0.699,0.453,0.676,0.219,0.501,0.874,1
0.314,0.695,0.781,0.4,0.526,0.155,0
0.301,0.438,0.817,0.233,0.118,0.249,1
0.39,0.704,0.397,0.612,0.676,0.703,0
0.216,0.384,0.912,0.344,0.444,0.38,0
0.271,0.44,0.785,0.248,0.162,0.544,1
0.593,0.936,0.285,0.342,0.817,0.4,0
0.254,0.402,0.947,0.446,0.563,0.383,0
0.329,0.071,0.699,0.167,0.625,0.483,1
0.533,0.461,0.589,0.5,0.809,0.831,0
0.511,0.665,0.51,0.654,0.869,0.843,1
0.111,0.539,0.736,0.192,0.588,0.248,0
0.674,0.794,0.97,0.422,0.778,0.283,1
0.814,0.077,0.29,0.803,0.77,0.261,1
0.536,0.213,0.688,0.553,0.367,0.417,1
0.827,0.82,0.822,0.184,0.897,0.276,1
0.405,0.235,0.492,0.503,0.265,0.899,1
0.222,0.72,0.926,0.404,0.701,0.646,0
0.633,0.652,0.767,0.711,0.521,0.482,1
0.281,0.305,0.507,0.359,0.503,0.581,1
0.152,0.206,0.731,0.724,0.475,0.875,1
0.391,0.751,0.896,0.536,0.553,0.856,0
0.137,0.551,0.751,0.28,0.397,0.775,1
0.462,0.532,0.356,0.602,0.416,0.392,0
0.479,0.414,0.635,0.47,0.451,0.056,1
0.723,0.199,0.49,0.837,0.365,0.4,1
0.733,0.261,0.246,0.609,0.825,0.31,1
0.615,0.952,0.581,0.319,0.702,0.501,0
0.217,0.877,0.108,0.589,0.825,0.802,0
0.341,0.685,0.612,0.647,0.61,0.274,0
0.443,0.811,0.183,0.421,0.885,0.26,0
0.42,0.436,0.82,0.84,0.408,0.618,1
0.571,0.365,0.857,0.245,0.758,0.723,1
0.288,0.766,0.642,0.413,0.749,0.963,1
0.609,0.668,0.463,0.43,0.466,0.923,1
0.589,0.799,0.857,0.276,0.288,0.348,1
0.635,0.741,0.565,0.111,0.593,0.617,1
0.758,0.769,0.716,0.974,0.565,0.526,0
0.424,0.523,0.594,0.499,0.917,0.507,0
0.562,0.375,0.572,0.774,0.54,0.587,1
0.666,0.447,0.861,0.484,0.514,0.573,1
0.742,0.615,0.675,0.892,0.295,0.414,1
0.32,0.181,0.59,0.323,0.459,0.442,1
0.557,0.365,0.448,0.458,0.391,0.268,0
0.717,0.968,0.869,0.337,0.844,0.912,0
0.698,0.753,0.532,0.412,0.405,0.494,1
0.97,0.607,0.233,0.117,0.673,0.283,1
0.4,0.456,0.391,0.82,0.29,0.474,1
0.561,0.794,0.398,0.155,0.688,0.814,0
0.225,0.092,0.425,0.249,0.637,0.106,1
0.498,0.509,0.518,0.54,0.645,0.228,0
0.321,0.838,0.652,0.087,0.247,0.183,1
0.187,0.652,0.734,0.073,0.574,0.52,1
0.153,0.896,0.606,0.445,0.554,0.538,1
0.885,0.631,0.607,0.271,0.413,0.413,1
0.618,0.499,0.572,0.427,0.19,0.85,1
0.184,0.711,0.789,0.603,0.442,0.508,0
0.208,0.516,0.621,0.635,0.108,0.913,0
0.719,0.449,0.681,0.342,0.052,0.785,1
0.327,0.826,0.738,0.238,0.093,0.745,1
0.549,0.752,0.624,0.424,0.399,0.324,1
0.531,0.659,0.962,0.607,0.64,0.502,1
0.238,0.331,0.777,0.15,0.723,0.502,1
0.406,0.774,0.63,0.556,0.501,0.171,0
0.166,0.743,0.319,0.388,0.698,0.343,0
0.658,0.668,0.387,0.121,0.423,0.288,1
0.748,0.921,0.907,0.372,0.756,0.401,1
0.144,0.201,0.792,0.855,0.564,0.324,1
0.232,0.459,0.387,0.575,0.926,0.761,1
0.642,0.207,0.775,0.521,0.533,0.262,1
0.806,0.219,0.658,0.732,0.741,0.368,1
0.413,0.752,0.55,0.754,0.413,0.167,1
0.224,0.758,0.766,0.528,0.788,0.399,1
0.555,0.281,0.725,0.435,0.201,0.45,0
0.878,0.39,0.835,0.878,0.604,0.864,1
0.784,0.427,0.723,0.164,0.847,0.776,1
0.463,0.44,0.304,0.326,0.478,0.301,0
0.574,0.496,0.743,0.44,0.399,0.355,1
0.239,0.219,0.798,0.635,0.113,0.34,1
0.599,0.664,0.58,0.549,0.301,0.922,1
0.566,0.553,0.539,0.59,0.244,0.253,0
0.583,0.374,0.621,0.601,0.764,0.615,1
0.638,0.408,0.868,0.855,0.523,0.22,0
0.63,0.654,0.279,0.787,0.812,0.861,1
0.656,0.697,0.554,0.312,0.407,0.378,1
0.929,0.718,0.564,0.465,0.635,0.202,1
0.818,0.471,0.188,0.768,0.28,0.659,0
0.426,0.426,0.874,0.22,0.247,0.57,1
0.266,0.315,0.72,0.149,0.606,0.527,1
0.49,0.304,0.934,0.585,0.54,0.256,1
0.594,0.619,0.608,0.699,0.871,0.602,0
0.854,0.24,0.902,0.372,0.25,0.688,1
0.569,0.357,0.605,0.693,0.496,0.345,1
0.696,0.095,0.838,0.632,0.894,0.639,1
0.628,0.156,0.234,0.044,0.317,0.373,1
0.889,0.049,0.835,0.327,0.326,0.363,1
0.029,0.686,0.716,0.332,0.366,0.765,1
0.079,0.673,0.516,0.495,0.687,0.387,1
0.481,0.562,0.629,0.626,0.558,0.245,1
0.087,0.476,0.653,0.365,0.334,0.264,0
0.738,0.552,0.769,0.269,0.135,0.207,1
0.414,0.607,0.386,0.881,0.538,0.323,0
0.207,0.249,0.773,0.283,0.876,0.742,0
0.256,0.663,0.697,0.521,0.592,0.201,1
0.865,0.628,0.218,0.777,0.805,0.775,1
0.582,0.812,0.474,0.132,0.788,0.531,1
0.458,0.635,0.572,0.74,0.544,0.288,0
0.265,0.625,0.439,0.705,0.946,0.203,0
0.405,0.035,0.441,0.407,0.433,0.06,0
0.45,0.541,0.97,0.339,0.075,0.261,1
0.389,0.288,0.706,0.544,0.654,0.302,1
0.146,0.71,0.917,0.223,0.449,0.397,0
0.567,0.703,0.859,0.533,0.609,0.642,0
0.099,0.504,0.455,0.894,0.215,0.15,0
0.871,0.616,0.477,0.21,0.216,0.949,1
0.459,0.425,0.874,0.429,0.45,0.117,0
0.385,0.356,0.62,0.509,0.547,0.238,1
0.236,0.611,0.971,0.075,0.517,0.551,0
0.767,0.273,0.266,0.527,0.561,0.395,1
0.881,0.312,0.71,0.71,0.907,0.8,1
0.614,0.178,0.673,0.254,0.771,0.781,1
0.547,0.423,0.359,0.853,0.259,0.785,1
0.205,0.055,0.964,0.22,0.222,0.211,1
0.459,0.286,0.646,0.485,0.745,0.149,1
0.324,0.507,0.854,0.219,0.197,0.22,1
0.175,0.362,0.252,0.204,0.658,0.525,1
0.633,0.205,0.62,0.127,0.422,0.121,1
0.174,0.668,0.552,0.285,0.716,0.179,1
0.397,0.544,0.648,0.663,0.459,0.635,1
0.404,0.362,0.721,0.606,0.623,0.216,1
0.293,0.764,0.478,0.448,0.506,0.159,1
0.49,0.835,0.443,0.652,0.034,0.594,0
0.467,0.493,0.155,0.66,0.623,0.549,0
0.447,0.338,0.53,0.384,0.143,0.494,0
0.79,0.17,0.542,0.364,0.391,0.374,1
0.409,0.392,0.651,0.102,0.938,0.27,0
0.599,0.727,0.736,0.06,0.464,0.973,1
0.442,0.47,0.756,0.653,0.903,0.542,0
0.247,0.455,0.452,0.932,0.337,0.859,1
0.732,0.514,0.502,0.449,0.467,0.878,1
0.475,0.746,0.917,0.583,0.454,0.731,0
0.679,0.893,0.638,0.113,0.892,0.385,1
0.401,0.616,0.635,0.186,0.166,0.577,0
0.672,0.426,0.784,0.718,0.604,0.091,1
0.306,0.347,0.282,0.835,0.742,0.314,1
0.784,0.722,0.206,0.616,0.388,0.382,1
0.281,0.854,0.685,0.173,0.133,0.493,1
0.228,0.244,0.542,0.558,0.28,0.884,1
0.945,0.929,0.916,0.305,0.031,0.446,1
0.733,0.448,0.421,0.739,0.447,0.293,1
0.436,0.164,0.821,0.365,0.623,0.237,1
0.539,0.334,0.508,0.571,0.443,0.454,1
0.642,0.783,0.463,0.195,0.512,0.169,0
0.572,0.29,0.543,0.443,0.628,0.276,0
0.81,0.501,0.677,0.691,0.3,0.745,1
0.357,0.834,0.852,0.597,0.347,0.229,0
0.432,0.86,0.645,0.795,0.35,0.837,1
0.652,0.394,0.812,0.324,0.067,0.074,1
0.442,0.455,0.987,0.472,0.468,0.33,1
0.359,0.524,0.78,0.329,0.579,0.332,1
0.545,0.167,0.224,0.23,0.432,0.448,1
0.523,0.394,0.704,0.301,0.624,0.1,1
0.801,0.926,0.454,0.248,0.435,0.622,0
0.357,0.58,0.531,0.351,0.726,0.676,1
0.819,0.593,0.97,0.299,0.18,0.711,1
0.775,0.563,0.663,0.257,0.366,0.655,1
0.676,0.487,0.382,0.398,0.443,0.176,1
0.242,0.898,0.832,0.666,0.753,0.911,0
0.568,0.346,0.925,0.681,0.117,0.167,0
0.534,0.665,0.773,0.571,0.39,0.814,1
0.604,0.323,0.472,0.282,0.401,0.28,0
0.667,0.53,0.578,0.148,0.456,0.715,1
0.679,0.791,0.783,0.77,0.176,0.485,1
0.338,0.259,0.581,0.576,0.341,0.049,1
0.28,0.83,0.901,0.624,0.609,0.345,1
0.454,0.734,0.691,0.695,0.286,0.209,1
0.559,0.498,0.669,0.653,0.528,0.867,1
0.614,0.203,0.567,0.568,0.489,0.504,1
0.306,0.825,0.673,0.562,0.319,0.454,1
0.778,0.803,0.531,0.481,0.621,0.229,0
0.76,0.358,0.468,0.805,0.455,0.344,0
0.813,0.302,0.987,0.204,0.625,0.743,1
0.943,0.633,0.851,0.564,0.545,0.092,1
0.398,0.461,0.117,0.178,0.451,0.124,1
0.692,0.147,0.238,0.769,0.021,0.789,0
0.419,0.844,0.374,0.526,0.738,0.666,1
0.097,0.379,0.269,0.161,0.453,0.386,0
0.378,0.727,0.496,0.675,0.525,0.261,0
0.914,0.546,0.867,0.255,0.78,0.489,1
0.892,0.191,0.768,0.605,0.537,0.841,1
0.377,0.467,0.545,0.201,0.495,0.655,1
0.391,0.118,0.761,0.243,0.322,0.865,1
0.399,0.702,0.584,0.861,0.194,0.416,0
0.304,0.746,0.465,0.238,0.801,0.685,1
0.585,0.49,0.403,0.804,0.767,0.385,0
0.652,0.265,0.445,0.26,0.492,0.929,1
0.5,0.557,0.497,0.637,0.595,0.371,0
0.039,0.848,0.695,0.431,0.395,0.815,0
0.213,0.207,0.455,0.295,0.56,0.206,1
0.515,0.158,0.855,0.356,0.768,0.538,1
0.172,0.575,0.515,0.273,0.353,0.634,1
0.242,0.198,0.996,0.534,0.579,0.194,1
0.504,0.732,0.959,0.15,0.747,0.675,0
0.332,0.251,0.942,0.613,0.276,0.686,1
0.055,0.74,0.76,0.779,0.254,0.21,1
0.567,0.913,0.364,0.76,0.237,0.242,0
0.236,0.364,0.518,0.363,0.679,0.331,0
0.22,0.651,0.608,0.694,0.436,0.688,1
0.403,0.359,0.573,0.827,0.5,0.484,0
0.533,0.59,0.944,0.605,0.862,0.567,0
0.614,0.265,0.893,0.569,0.267,0.214,1
0.41,0.226,0.526,0.447,0.913,0.595,0
0.658,0.936,0.741,0.374,0.469,0.104,1
0.478,0.806,0.959,0.104,0.261,0.468,1
0.372,0.726,0.404,0.383,0.652,0.056,1
0.707,0.366,0.905,0.173,0.777,0.592,1
0.244,0.363,0.383,0.581,0.562,0.425,0
0.034,0.533,0.813,0.274,0.331,0.579,1
0.162,0.493,0.838,0.435,0.069,0.273,0
0.496,0.656,0.618,0.082,0.557,0.43,0
0.675,0.714,0.164,0.171,0.66,0.618,1
0.458,0.524,0.505,0.402,0.204,0.833,0
0.064,0.775,0.711,0.543,0.512,0.556,0
0.4,0.507,0.14,0.672,0.095,0.871,0
0.518,0.35,0.414,0.897,0.55,0.961,1
0.51,0.632,0.668,0.703,0.782,0.629,1
0.255,0.207,0.722,0.48,0.593,0.473,1
0.699,0.593,0.598,0.744,0.676,0.346,1
0.336,0.434,0.704,0.361,0.295,0.246,1
0.318,0.406,0.655,0.087,0.929,0.656,1
0.649,0.18,0.665,0.144,0.876,0.564,1
0.377,0.576,0.602,0.436,0.253,0.253,1
0.813,0.507,0.808,0.205,0.559,0.701,1
0.583,0.262,0.586,0.75,0.566,0.628,1
